# ra dec outfile fov
348.371013837274 1.2203299152599505 42679085725405714.png 3.799999952316284
348.2517138970394 1.2244563000173314 42679085725405837.png 4.5
348.4023738514733 1.2256846948288924 42679085725405913.png 5.199999809265137
348.27350810907495 1.2307286430130266 42679085725406092.png 5.199999809265137
348.42081314044333 1.2306455098657059 42679085725406113.png 4.099999904632568
348.38815079135975 1.231808433299268 42679085725406119.png 3.5999999046325684
348.41396613168223 1.2326689511185842 42679085725406167.png 4.300000190734863
348.2837565269747 1.2331182951171238 42679085725406186.png 3.799999952316284
348.39261979334174 1.2345654617962192 42679085725406230.png 6.699999809265137
348.3927954334523 1.2344187873094152 42679085725406231.png 7.800000190734863
348.2721526756244 1.2347112804236067 42679085725406263.png 9.699999809265137
348.27168390780423 1.2344092783808644 42679085725406265.png 9.399999618530273
348.2492120004563 1.2396726958272066 42679085725406376.png 3.799999952316284
348.28091054138633 1.2409805406765988 42679085725406443.png 5.900000095367432
348.33452726524007 1.2409434341098688 42679085725406499.png 3.4000000953674316
348.4032167511413 1.2412346639918268 42679085725406533.png 3.0
348.4005962513063 1.243398294317621 42679085725406589.png 4.300000190734863
348.2584372566884 1.2469558344049243 42679085725406772.png 3.200000047683716
348.33949016341484 1.2470905732809912 42679085725406790.png 4.0
348.32614526984986 1.250274702744187 42679085725406891.png 4.699999809265137
348.34834835059826 1.2512489738487802 42679085725406917.png 4.5
348.3086718449655 1.252001139358468 42679085725406991.png 4.800000190734863
348.28919506326014 1.2564637395849942 42679085725407170.png 4.300000190734863
348.24842873318795 1.2590790246923396 42679085725407245.png 7.5
348.24794547621684 1.258819075880907 42679085725407248.png 8.399999618530273
348.3232424902691 1.2589178299864168 42679085725407258.png 3.4000000953674316
348.3004729953716 1.2603327598783922 42679085725407304.png 4.599999904632568
348.2993517209195 1.260973804224865 42679085725407305.png 4.199999809265137
348.29937836910324 1.2594190354084105 42679085725407306.png 5.5
348.32387000325025 1.261000399537649 42679085725407338.png 3.0999999046325684
348.3225147122079 1.2612300764057565 42679085725407339.png 4.599999904632568
348.3267551575152 1.2613416568795979 42679085725407343.png 6.400000095367432
348.3075577334197 1.2623966135215372 42679085725407405.png 4.900000095367432
348.31972010177475 1.2642239305020595 42679085725407473.png 3.0999999046325684
348.3621197298135 1.2644684657272944 42679085725407557.png 5.699999809265137
348.4198839945903 1.268935745716433 42679085725407667.png 4.099999904632568
348.40747915805633 1.2694721760059007 42679085725407681.png 4.800000190734863
348.28325641403364 1.2742887607590159 42679085725407770.png 5.099999904632568
348.4259743230738 1.276710198247972 42679085725407953.png 4.0
348.259392301775 1.2815084075513552 42679085725408093.png 4.199999809265137
348.4234112022816 1.281376971235064 42679085725408105.png 6.699999809265137
348.422177523946 1.286757782754257 42679085725408307.png 2.9000000953674316
348.34772103092706 1.285851755901272 42679085725408315.png 2.4000000953674316
348.42460110948565 1.2885597992688151 42679085725408373.png 2.700000047683716
348.3407016532746 1.2921394945818026 42679085725408521.png 2.5999999046325684
348.3947997135722 1.3009227070837281 42679085725408859.png 5.300000190734863
348.3271870725424 1.316235416700465 42679085725409545.png 6.099999904632568
348.3280882255721 1.3171895971120384 42679085725409546.png 3.4000000953674316
348.2772774750545 1.3163790173533902 42679085725409572.png 4.400000095367432
348.2692725156892 1.3170884608424278 42679085725409597.png 4.900000095367432
348.41512412998856 1.318385051901097 42679085725409622.png 5.699999809265137
348.26149304881244 1.319356468860569 42679085725409700.png 6.199999809265137
348.33881943476626 1.3202024368155383 42679085725409702.png 3.799999952316284
348.3314150434413 1.3181628201990419 42679085725409711.png 5.300000190734863
348.26946724782067 1.3260797165231586 42679085725410005.png 4.800000190734863
348.3588189568993 1.3267489229057423 42679085725410030.png 2.700000047683716
348.34807315295103 1.3294291703889152 42679085725410070.png 7.599999904632568
348.344872278001 1.337861756330668 42679085725410280.png 4.5
348.2608879465265 1.3392524598441198 42679085725410365.png 4.300000190734863
348.3375609823926 1.3385373889828258 42679085725410403.png 3.5999999046325684
348.28589456012367 1.3409470360374105 42679085725410414.png 4.5
348.2763840383723 1.3412926073796567 42679085725410423.png 4.900000095367432
348.35171326124254 1.3417143106916023 42679085725410519.png 4.300000190734863
348.3581797014104 1.3447395846987669 42679085725410614.png 3.799999952316284
348.35948560765524 1.3446430449656142 42679085725410615.png 3.700000047683716
348.40025005758787 1.3445711901268103 42679085725410635.png 4.599999904632568
348.36236661020445 1.3462103896918667 42679085725410694.png 3.0
348.3515798241397 1.3483531126664727 42679085725410754.png 4.900000095367432
348.42142757311905 1.3483348689825174 42679085725410786.png 3.299999952316284
348.41204360536517 1.3495091965000103 42679085725410817.png 4.099999904632568
348.28253623861553 1.3511311464226696 42679085725410911.png 3.5
348.27619407951386 1.353319418465559 42679085725410920.png 5.300000190734863
348.3884472750498 1.350761629350515 42679085725410938.png 3.4000000953674316
348.39436331159004 1.3536533159539996 42679085725410990.png 3.799999952316284
348.36010239197645 1.353156010096621 42679085725410993.png 3.5
348.4137815420603 1.3561995929194348 42679085725411088.png 3.299999952316284
348.41589036739543 1.3572315209527608 42679085725411106.png 3.299999952316284
348.3386922696095 1.3585768426100275 42679085725411167.png 3.4000000953674316
348.2779703235071 1.358961575986624 42679085725411241.png 4.199999809265137
348.4171079602016 1.367085581613365 42679085725411555.png 7.099999904632568
348.41494954468135 1.3689992533429138 42679085725411657.png 3.0
348.33938240003897 1.3701625718541546 42679085725411686.png 3.5999999046325684
348.4256863119806 1.3709566298382423 42679085725411750.png 4.400000095367432
348.3388364822432 1.3774111350693305 42679085725411935.png 7.0
348.3456624753797 1.3780171569097575 42679085725411990.png 5.0
348.37911543782457 1.3806637747663033 42679085725412044.png 3.299999952316284
348.4068968263013 1.381040157677159 42679085725412078.png 5.699999809265137
348.3638784549688 1.381401807142312 42679085725412095.png 2.700000047683716
348.30264892858037 1.3834685353195135 42679085725412135.png 2.9000000953674316
348.4230957738025 1.3833276091943718 42679085725412142.png 4.0
348.33869246372905 1.384325919716356 42679085725412218.png 5.0
348.361332011135 1.3835970528889783 42679085725412229.png 3.200000047683716
348.24652082222804 1.3865597370138407 42679085725412244.png 6.599999904632568
348.2434183043722 1.3962781947617435 42679085725412576.png 3.200000047683716
348.2530607475158 1.4023821497607223 42679090020352461.png 4.099999904632568
348.35744441205287 1.4054059056002517 42679090020352623.png 4.900000095367432
348.3532721818712 1.4211146236903753 42679090020353337.png 4.099999904632568
348.28377967737543 1.4337058606710824 42679090020353959.png 5.099999904632568
348.3296491698201 1.441232786249377 42679090020354329.png 4.699999809265137
348.2875077866614 1.450645050232845 42679090020354776.png 6.5
348.28191036920794 1.4597106424797153 42679090020355219.png 3.5999999046325684
348.30555618161355 1.3982546129404234 42679090020372208.png 4.800000190734863
348.41525967205644 1.3981197000584429 42679090020372234.png 5.599999904632568
348.3881511318762 1.4016561786023825 42679090020372324.png 4.599999904632568
348.3927228984449 1.4020922986770492 42679090020372356.png 2.5999999046325684
348.30451354309 1.40256867824737 42679090020372430.png 3.799999952316284
348.3640044464675 1.4039114904728505 42679090020372454.png 3.5
348.29052464572953 1.4157231841863034 42679090020372988.png 4.099999904632568
348.3327492444042 1.418069268571416 42679090020373016.png 4.400000095367432
348.2720306708463 1.4245703005611623 42679090020373182.png 4.699999809265137
348.27251770135865 1.4243740844550805 42679090020373183.png 5.5
348.24949976042507 1.4246505992308989 42679090020373194.png 2.5999999046325684
348.34476713485043 1.4255621764394653 42679090020373223.png 3.299999952316284
348.356238795367 1.4282241854563134 42679090020373285.png 3.9000000953674316
348.34421625321943 1.4284930850094064 42679090020373363.png 4.099999904632568
348.38937150491677 1.4288026334072161 42679090020373370.png 4.300000190734863
348.3253009826487 1.4301999348085455 42679090020373373.png 5.099999904632568
348.39412787662326 1.4311521960498272 42679090020373408.png 5.800000190734863
348.3400712635731 1.4304485788661023 42679090020373472.png 2.5
348.4140498780796 1.4318617117202692 42679090020373542.png 4.300000190734863
348.35821427253404 1.432187217614311 42679090020373552.png 5.0
